Identification Number,Room Assignment for Day 1,Room Assignment for Day 2,Outlook 1,Outlook 2,Proposal 1,Proposal 2,Proposal 3,Proposal 4,Proposal 5,Proposal 6,Proposal 7,Proposal 8,Proposal 9,Proposal 10,Proposal 11,Proposal 12,Motivations 1,Motivations 2,Motivations 3,Motivations 4,Motivations 5,Motivations 6,Motivations 7,Motivations 8,Motivations 9,Motivations 10,Motivations 11,Motivations 12,Motivations 13,Motivations 14,Motivations 15,Motivations 16,Motivations 17,Motivations 18,Motivations 19,Motivations 20,Motivations 21,Motivations 22,Motivations 23,Motivations 24,Motivations 25,Motivations 26,Motivations 27,Motivations 28,Motivations 29,Motivations 30,Motivations 31,Motivations 32,Motivations 33,Values 1,Values 2,Values 3,Values 4,Values 5,Values 6,Values 7,Values 8,Values 9,Mutual Respect 1,Mutual Respect 2,Mutual Respect 3,Mutual Respect 4,Mutual Respect 5,Mutual Respect 6,Political Efficacy 1,Political Efficacy 2,Political Efficacy 3,Political Efficacy 4,Political Efficacy 5,Political Efficacy 6,Political Efficacy 7,Political Efficacy 8,Knowledge 1,Knowledge 2,Knowledge 3,Knowledge 4,Knowledge 5,Knowledge 6,Knowledge 7,Knowledge 8,Knowledge 9,Knowledge 10,Knowledge 11,Evaluation 1,Evaluation 2,Evaluation 3,Evaluation 4,Evaluation 5,Evaluation 6,Evaluation 7,Evaluation 8,Evaluation 9,View of the Democratic Party,View of the Republican Party,View of Congress,View of the President,Overall,Registered to Vote,Voted Before,Political Party Preference,Independent Party Lean,Democratic Party Loyalty,Republican Party Loyalty,Region,Gender,Race and Ethnicity,Education Category,Enrollment Status,University Type,Employment Status,Household Income Level,Interest in Political Issues (Before Deliberation),Interest in Political Issues (After Deliberation),Interest in Social Issues (Before Deliberation),Interest in Social Issues (After Deliberation),Economic Situation (Before Deliberation),Economic Situation (After Deliberation),Read the News on the Internet,Talked with Others about Politics,Use of Social Media for News,Household Income Level (Scale),Political Ideology (Scale),Political Ideology (Scale) (After Deliberation),Age (Scale)
148,20210501-shapefuture-b-session1-b,20210502-shapefuture-b-session1-c,0,10,,,10,10,10,10,0,10,1,0,10,0,,10,10,,10,10,10,10,,,,,,,,10,0,10,10,0,10,10,10,0,,10,,,0,0,10,,,10,10,10,10,10,9,10,0,10,,,,,,,0,10,10,,10,5,10,10,1,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,50,89,,50,,1,1,4,2,,,1,1,6,1,1,,3,1,2,1,1,1,5,5,1,0,5,1,,,24
149,20210501-shapefuture-a-session2-k,20210502-shapefuture-a-session2-a,5,5,4,6,6,5,4,2,4,5,3,6,4,4,8,8,8,6,6,10,8,8,8,6,6,6,6,6,6,6,4,4,6,6,6,6,6,6,6,6,6,6,2,2,10,4,5,4,4,5,6,5,6,7,6,6,6,6,7,6,6,5,6,5,6,6,5,6,6,8,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,62,31,50,56,,1,1,2,1,,,1,3,5,1,1,,1,1,2,2,2,2,4,3,8,7,1,1,0,5,26
150,20210501-shapefuture-b-session1-f,20210502-shapefuture-b-session1-d,6,9,5,8,5,10,7,10,4,8,6,8,6,5,5,5,9,1,7,6,8,7,5,6,5,7,5,5,6,9,4,3,3,3,7,7,6,5,3,5,5,5,4,5,5,0,0,8,8,6,7,9,5,5,6,8,6,6,5,5,6,5,5,8,6,7,6,5,5,6,1,1,1,0,0,1,0,1,0,1,1,,,,,,,,,,74,36,56,59,,3,2,2,1,,,1,1,3,1,1,,2,1,3,2,2,2,3,4,1,1,3,1,4,5,18
151,20210501-shapefuture-a-session2-q,20210502-shapefuture-a-session2-e,5,10,5,6,6,7,2,7,6,4,5,6,6,6,5,5,6,3,7,4,8,5,5,5,5,5,5,6,6,9,4,9,4,4,6,6,6,6,5,6,5,6,4,4,4,6,6,6,7,5,5,3,3,6,6,8,3,3,3,7,4,4,6,6,4,7,5,4,6,7,0,1,1,0,0,1,0,1,1,0,0,,,,,,,,,,49,50,53,56,,2,2,1,,2,,1,1,3,3,1,,1,,2,1,2,1,4,3,3,1,2,8,5,3,26
152,20210501-shapefuture-a-session1-g,20210502-shapefuture-a-session1-i,3,6,3,4,10,3,2,10,3,7,1,9,0,10,8,10,7,0,8,2,6,2,6,2,3,4,7,7,10,1,4,5,7,5,10,10,2,4,3,7,8,10,4,4,2,0,0,4,0,0,4,0,7,8,7,8,8,10,6,4,6,7,0,6,9,6,2,5,0,10,1,1,1,1,1,1,0,1,0,1,1,,,,,,,,,,10,15,25,2,,1,2,2,3,,,1,2,5,2,2,,4,4,3,3,4,4,5,5,4,2,5,4,5,5,
153,20210501-shapefuture-a-session2-w,20210502-shapefuture-a-session2-t,7,9,5,9,9,8,10,10,4,10,9,9,10,4,10,8,9,9,10,10,9,9,9,10,9,4,3,10,10,10,7,6,8,10,10,10,10,9,0,10,7,4,3,5,10,10,10,10,10,10,10,10,3,3,10,10,3,3,5,2,10,8,2,4,4,7,6,4,4,4,1,0,1,1,0,0,0,1,0,0,1,,,,,,,,,,70,9,57,69,,1,1,1,,1,,2,1,4,2,2,3,4,1,2,2,1,1,4,4,5,1,3,1,4,2,
154,20210501-shapefuture-b-session1-f,20210502-shapefuture-b-session1-g,3,10,9,9,10,10,7,10,0,6,1,1,4,9,10,9,10,0,9,7,10,6,4,9,9,9,1,8,9,10,9,9,2,1,9,10,10,4,0,2,2,6,0,0,10,6,8,10,10,10,8,10,5,6,0,7,7,8,0,8,9,0,6,2,4,8,6,9,10,10,1,1,1,1,0,1,1,1,0,1,1,,,,,,,,,,85,5,70,80,,1,1,1,,1,,1,,5,3,1,,1,1,2,2,1,1,2,3,8,4,2,1,0,1,25
155,20210501-shapefuture-b-session1-h,20210502-shapefuture-b-session1-h,4,9,7,8,10,7,10,10,,10,9,8,10,9,10,10,10,10,10,6,9,10,10,9,9,9,8,7,7,5,,4,4,3,8,10,10,10,3,5,4,4,5,4,10,3,3,10,10,10,10,8,5,10,9,10,5,3,3,6,6,7,2,6,10,7,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,55,18,,60,,2,2,2,2,,,1,3,1,1,1,,1,1,2,2,2,2,5,5,1,0,5,1,,,22
156,20210501-shapefuture-b-session1-c,20210502-shapefuture-b-session1-c,5,7,,,10,5,8,8,2,8,4,,8,4,8,9,9,,7,7,7,8,8,6,8,7,5,8,10,8,3,4,2,3,6,8,8,2,5,8,3,3,2,1,10,,,4,4,6,6,7,6,5,4,10,8,7,5,8,5,6,6,8,7,10,7,7,10,10,1,1,1,0,1,1,1,1,0,1,1,,,,,,,,,,65,38,50,53,,1,1,1,,2,,1,1,3,1,1,,4,,2,2,2,2,3,3,8,3,3,8,3,4,18
157,20210501-shapefuture-b-session2-e,20210502-shapefuture-b-session2-a,5,9,10,9,10,10,5,,7,8,5,7,9,3,8,8,9,,9,,8,5,9,10,8,6,8,8,8,10,3,5,2,2,8,5,5,9,,7,4,4,5,6,10,,,10,10,10,8,7,8,10,8,10,9,7,,7,7,8,5,8,6,,6,7,,,1,1,1,0,0,0,1,1,0,1,1,,,,,,,,,,,,35,5,,2,2,2,3,,,2,1,5,2,2,3,4,,3,3,2,2,4,4,,1,2,8,8,7,
158,,,3,10,10,10,10,10,10,10,2,6,5,1,4,7,10,7,10,,9,10,10,8,7,6,6,8,0,6,6,10,0,0,2,3,10,10,10,0,0,4,4,4,1,0,10,6,7,10,8,8,8,9,2,8,0,7,6,8,6,4,8,10,2,3,4,10,6,6,3,6,1,1,1,0,1,1,0,1,0,1,1,,,,,,,,,,30,0,26,9,,1,1,1,,2,,1,2,1,2,2,2,1,,1,1,1,1,4,3,8,7,2,8,0,0,
159,20210501-shapefuture-a-session2-c,20210502-shapefuture-a-session2-i,8,10,,8,10,10,10,10,0,10,,,10,10,10,10,10,10,10,10,7,10,8,4,4,4,2,10,10,10,0,10,0,3,10,10,10,10,0,10,5,5,0,5,,5,6,10,6,8,7,7,,7,0,8,6,6,2,3,8,10,0,0,8,6,6,4,3,8,1,1,1,0,1,1,0,1,0,1,1,,,,,,,,,,24,13,14,17,,1,1,4,4,,,1,3,1,3,1,,4,4,1,1,1,1,2,1,8,7,2,4,0,0,21
160,,,5,10,,9,9,5,4,8,5,8,,6,,5,10,10,10,8,10,7,7,5,6,8,8,8,7,9,9,10,2,9,6,6,9,9,8,8,1,5,5,5,4,4,10,2,1,7,7,8,4,6,7,9,9,9,6,6,6,8,5,7,7,5,5,9,6,7,7,7,0,0,1,0,0,0,0,1,0,0,1,,,,,,,,,,58,1,22,8,,1,1,1,,2,,1,1,1,2,2,3,4,1,2,3,1,2,4,4,6,2,1,1,7,8,
161,20210501-shapefuture-a-session1-g,20210502-shapefuture-a-session1-k,7,10,7,8,4,3,0,9,7,4,8,9,4,7,7,10,10,8,10,7,10,10,10,10,10,10,7,10,10,8,4,4,6,3,9,3,0,10,0,6,5,5,5,5,10,8,8,10,10,10,10,7,7,7,10,10,10,10,2,10,2,2,4,8,8,3,3,5,5,10,1,1,1,0,1,0,0,1,0,1,1,,,,,,,,,,60,40,30,45,,1,1,2,2,,,1,2,3,3,1,,1,5,1,2,1,1,2,3,5,3,1,5,5,5,24
162,20210501-shapefuture-a-session2-t,20210502-shapefuture-a-session2-p,5,9,9,10,10,10,4,10,3,8,5,6,6,5,6,8,10,4,7,6,8,7,6,9,9,8,7,8,9,10,3,2,2,1,10,9,7,5,0,9,5,5,0,1,10,7,7,10,10,10,10,10,6,10,7,10,7,9,4,4,8,8,6,2,9,10,7,8,7,10,1,1,1,0,1,1,0,1,0,1,1,,,,,,,,,,78,11,53,78,,1,1,1,,1,,1,2,1,2,2,1,5,5,1,1,1,2,5,3,8,7,2,5,4,4,
163,,,3,7,2,3,,10,,10,4,10,9,1,9,,10,10,10,0,10,10,10,10,10,6,10,10,6,8,10,9,4,10,1,0,8,9,5,4,0,9,1,,0,0,10,0,0,10,10,10,10,10,4,6,3,8,6,2,6,10,10,10,1,10,10,10,6,3,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,1,2,1,,2,,2,1,2,2,2,2,4,,3,4,4,4,6,6,1,0,1,8,,0,
164,20210501-shapefuture-b-session1-g,20210502-shapefuture-b-session1-f,5,0,0,1,6,4,5,1,6,0,0,,9,9,1,,,0,9,,5,,,0,0,6,6,9,6,0,,,10,10,9,1,,10,,0,,,5,7,10,0,0,9,8,2,2,,9,10,10,10,10,10,10,6,10,9,0,0,2,,,9,10,4,0,1,1,0,1,0,0,1,0,0,0,,,,,,,,,,0,0,0,0,,1,1,2,3,,,1,2,1,2,2,1,4,,4,4,4,4,3,3,1,0,4,8,6,7,
165,20210501-shapefuture-a-session2-f,20210502-shapefuture-a-session2-l,7,5,2,7,1,1,6,4,7,3,0,5,0,10,5,10,3,1,8,0,0,5,,0,0,0,0,0,0,6,6,8,0,0,3,5,0,0,4,0,5,10,7,10,2,1,7,8,2,8,3,0,10,8,3,8,0,6,5,8,7,1,0,9,7,7,7,10,7,10,1,1,1,1,1,1,0,1,0,1,1,,,,,,,,,,20,20,75,70,,1,1,2,3,,,1,2,1,2,2,1,5,1,2,2,3,3,2,3,8,4,2,1,5,5,
166,,20210502-shapefuture-a-session1-i,10,10,1,1,0,1,1,1,1,1,1,1,1,1,,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,,10,10,10,10,10,10,,0,,0,0,0,0,,10,0,0,0,0,1,1,1,2,3,10,10,0,10,0,10,0,10,1,10,0,10,10,10,0,1,0,1,1,0,0,1,0,1,0,,,,,,,,,,82,10,33,30,,1,1,2,3,,,1,1,1,1,1,,1,1,1,1,2,1,2,1,,0,1,1,10,1,20
167,20210501-shapefuture-b-session2-d,20210502-shapefuture-b-session2-a,4,8,,,10,10,7,10,0,10,5,5,0,10,10,7,8,0,9,,,,,8,8,8,8,8,8,10,0,8,1,0,9,10,9,6,2,8,9,10,3,3,10,,0,8,7,7,7,3,,9,7,8,6,7,,,7,7,1,4,6,8,7,4,7,10,1,1,1,0,1,1,0,0,0,0,1,,,,,,,,,,67,38,50,,,1,1,1,,1,,1,,1,3,1,,1,2,2,2,2,2,4,4,4,1,3,2,3,4,24
168,20210501-shapefuture-b-session2-g,20210502-shapefuture-b-session2-g,3,9,,6,6,5,6,6,4,4,6,4,8,,,6,6,4,6,,8,4,6,8,8,8,8,8,,10,3,6,4,2,7,6,5,4,3,2,2,2,4,5,10,7,7,8,8,8,8,8,8,8,6,8,,6,,,6,6,7,8,4,7,6,5,6,10,1,1,1,1,1,1,0,1,0,1,1,,,,,,,,,,70,65,80,80,,1,1,2,1,,,1,,1,3,1,,1,5,1,1,1,1,2,1,6,3,2,5,8,5,28
169,20210501-shapefuture-b-session1-g,20210502-shapefuture-b-session1-a,7,9,5,8,7,7,6,10,1,10,9,5,8,9,8,7,9,0,9,5,8,7,7,9,9,9,6,5,6,8,5,8,1,1,7,7,8,7,2,6,6,6,1,3,10,,,10,9,9,7,9,7,10,6,10,6,6,3,6,7,7,6,6,4,8,7,4,10,10,0,1,1,0,1,1,0,0,0,1,1,,,,,,,,,,70,47,68,68,,1,1,1,,2,,1,1,3,3,1,,4,6,2,2,2,2,3,3,4,0,2,6,5,4,23
170,20210501-shapefuture-b-session2-g,20210502-shapefuture-b-session2-f,6,10,,,7,8,7,8,4,4,4,6,5,6,10,10,10,,7,5,6,5,5,6,6,6,5,6,5,9,0,0,3,1,10,5,7,2,3,5,6,5,5,5,10,,,10,10,10,10,10,6,10,8,10,4,5,4,5,6,5,3,5,4,6,5,6,8,10,1,1,1,1,1,1,1,1,0,1,1,,,,,,,,,,65,35,,85,,1,1,1,,2,,1,2,3,3,1,,1,7,2,2,2,2,2,1,3,1,3,7,3,4,25
171,20210501-shapefuture-a-session1-as,20210502-shapefuture-a-session2-b,6,7,,8,6,10,6,,10,8,,,6,6,,7,7,0,5,6,6,8,8,7,7,5,3,3,7,6,2,4,6,5,7,2,7,7,7,6,5,4,4,5,10,0,0,10,10,10,10,10,10,10,10,10,5,7,1,5,5,5,6,6,4,6,8,7,10,10,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,52,,1,2,1,,2,,1,1,2,1,1,,5,,2,2,1,1,5,4,5,2,3,8,,,18
172,20210501-shapefuture-a-session1-h,20210502-shapefuture-a-session1-n,6,10,8,7,9,7,8,7,0,9,0,6,2,9,8,9,10,1,7,8,7,8,7,,,,,,,10,3,0,2,2,8,10,8,1,0,9,7,9,0,0,10,6,8,10,8,10,8,8,2,7,0,9,6,8,3,9,8,9,4,2,1,9,7,10,8,10,1,1,1,1,1,1,1,1,0,1,1,,,,,,,,,,80,0,30,60,,1,1,1,,1,,1,2,1,2,2,1,4,5,1,1,1,1,2,1,8,3,3,5,0,0,
173,20210501-shapefuture-b-session2-c,20210502-shapefuture-b-session2-h,8,4,7,4,8,,2,3,4,6,4,8,8,4,7,7,8,3,7,,7,2,6,6,7,8,8,9,5,7,3,,3,2,9,8,8,,5,4,7,4,6,6,10,,5,7,8,8,9,8,8,9,8,10,3,5,6,7,8,7,3,8,7,,,7,8,,0,1,1,0,1,1,0,1,0,0,0,,,,,,,,,,,,,,,2,2,2,2,,,1,2,3,2,2,1,4,,3,3,3,3,4,4,2,0,4,8,,4,
174,20210501-shapefuture-a-session2-r,20210502-shapefuture-a-session2-m,4,7,7,7,6,6,5,7,2,8,2,2,3,2,7,6,8,3,6,5,5,8,7,7,8,8,4,6,7,6,3,7,4,3,7,8,8,5,7,7,5,5,3,5,9,5,6,7,8,7,8,5,8,9,6,8,5,8,6,6,3,6,4,5,3,7,7,8,8,10,1,0,1,1,0,1,1,1,0,1,1,,,,,,,,,,75,30,40,55,,1,2,1,,2,,1,2,1,1,1,,2,4,2,2,2,2,4,4,5,3,3,4,3,2,18
175,20210501-shapefuture-a-session1-o,20210502-shapefuture-a-session1-i,4,10,9,10,10,10,8,10,1,5,5,5,7,5,10,4,10,0,7,6,10,6,6,5,5,7,5,8,8,10,0,0,0,0,10,10,10,2,0,8,5,5,1,1,10,10,4,10,10,10,10,10,5,8,3,10,3,10,10,2,9,10,7,6,4,10,9,3,9,10,0,1,1,0,1,1,0,1,1,1,1,,,,,,,,,,45,0,18,85,,1,1,1,,1,,1,1,1,3,1,,1,6,2,2,1,1,3,3,,4,1,6,3,3,27
176,20210501-shapefuture-a-session1-k,20210502-shapefuture-a-session1-a,3,7,6,5,5,6,7,6,7,5,5,5,7,6,7,6,8,5,8,7,8,5,,8,7,7,6,6,7,7,5,6,6,7,,,8,8,6,6,,,7,5,8,7,6,7,,7,8,7,7,8,8,10,5,5,4,7,6,,5,7,4,6,5,7,8,10,0,1,1,1,0,1,0,1,0,0,1,,,,,,,,,,90,11,51,80,,1,2,2,1,,,1,2,2,1,1,,4,3,3,3,2,2,5,4,7,2,3,3,1,3,25
177,20210501-shapefuture-a-session2-b,20210502-shapefuture-a-session2-v,4,10,10,10,10,10,10,10,0,10,0,10,0,10,10,5,10,5,10,10,10,5,7,10,10,10,10,10,10,10,0,0,0,0,10,10,,3,3,10,10,10,0,0,10,7,7,10,10,10,9,10,4,7,7,,8,8,4,2,5,0,5,1,3,7,7,8,3,10,1,1,1,0,1,0,0,0,0,1,1,,,,,,,,,,82,1,14,77,,1,1,1,,1,,1,1,3,3,1,,1,5,1,1,1,1,4,4,8,7,3,5,0,0,25
178,,,7,9,6,7,10,10,5,10,0,10,0,10,10,5,10,10,10,2,10,10,10,10,10,10,10,3,7,7,5,5,0,7,5,5,10,7,7,5,0,7,7,3,0,0,10,,,10,10,10,10,10,10,10,7,10,7,7,5,4,7,7,5,5,7,10,6,6,7,10,1,1,1,1,1,0,0,1,0,1,1,,,,,,,,,,70,30,60,75,,1,1,1,,1,,1,1,1,2,2,1,4,6,1,1,1,1,4,4,6,3,2,6,3,3,
179,20210501-shapefuture-a-session2-c,20210502-shapefuture-a-session2-q,5,7,,,10,8,5,10,0,8,0,9,3,10,10,8,8,5,8,,9,0,6,10,5,3,0,6,9,1,1,1,3,5,9,10,5,8,4,9,9,9,1,1,10,6,6,9,9,9,9,9,5,7,6,8,8,8,3,4,9,4,2,6,9,9,8,6,1,1,0,1,1,1,1,1,0,0,0,1,1,,,,,,,,,,51,52,53,53,,2,2,2,2,,,1,1,2,2,2,1,4,5,2,2,1,1,3,3,4,3,3,5,6,5,
180,20210501-shapefuture-a-session2-x,20210502-shapefuture-a-session2-q,5,10,10,8,7,10,7,,3,9,10,9,4,8,10,7,9,,10,,6,10,9,9,8,10,6,5,8,10,1,7,8,10,7,9,10,8,3,10,9,6,2,6,10,0,0,10,10,9,8,5,7,9,9,10,6,9,3,8,10,10,2,10,10,6,0,1,5,8,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,71,55,50,50,,1,1,1,,2,,1,1,1,3,1,,4,4,3,4,2,2,3,4,1,0,3,4,4,3,18
181,,,7,5,3,3,1,1,1,0,6,2,7,7,2,7,2,3,3,2,2,2,2,2,1,2,2,2,2,2,2,0,6,10,10,2,1,8,0,10,10,4,3,3,4,3,0,0,2,3,2,2,3,2,10,5,10,10,10,10,10,7,1,3,0,0,5,3,9,9,6,9,0,1,0,0,1,1,0,0,0,1,1,,,,,,,,,,11,23,20,12,,1,2,2,4,,,1,1,3,1,1,,2,6,2,1,1,1,3,3,6,4,4,6,7,8,18
182,20210501-shapefuture-a-session2-b,20210502-shapefuture-a-session2-o,6,9,7,7,9,9,9,9,2,9,2,8,5,8,6,7,7,3,8,8,8,8,8,7,7,7,6,6,7,9,2,8,3,3,7,9,3,3,3,7,7,8,3,2,8,6,5,5,7,7,7,7,4,7,4,8,6,6,5,6,7,7,6,7,4,3,7,6,5,8,1,1,1,1,1,1,1,1,0,1,1,,,,,,,,,,53,26,31,50,,1,1,1,,2,,1,1,2,2,2,2,4,6,2,2,2,2,3,3,3,1,2,6,4,3,
183,20210501-shapefuture-a-session2-a,20210502-shapefuture-a-session2-d,6,7,7,10,10,5,6,10,0,10,0,7,5,3,10,10,10,7,10,,10,10,10,10,10,10,10,10,10,5,3,8,4,2,10,10,5,2,0,6,5,5,0,0,10,7,7,8,10,5,10,10,6,10,2,9,10,10,10,0,8,7,2,0,7,10,10,10,2,10,1,1,1,0,1,1,0,1,0,1,1,,,,,,,,,,50,31,50,52,,1,1,2,1,,,1,2,1,3,1,,1,5,2,1,2,1,5,5,8,7,3,5,3,4,28
184,20210501-shapefuture-a-session1-h,20210502-shapefuture-a-session1-n,4,9,,7,6,10,3,7,2,7,1,6,9,1,10,9,9,4,8,10,8,4,8,9,9,5,6,8,10,10,3,6,0,0,8,10,10,5,2,3,8,1,3,0,10,9,10,8,9,10,6,8,3,4,6,10,5,8,3,9,10,10,2,1,3,10,10,10,9,10,1,1,1,0,1,1,0,1,0,1,1,,,,,,,,,,65,20,38,82,,2,2,1,,2,,1,1,4,2,2,2,4,3,1,1,1,1,4,4,6,4,1,3,2,2,
185,20210501-shapefuture-b-session1-e,20210502-shapefuture-b-session1-d,7,5,,7,7,8,,8,,,4,,4,7,8,8,9,,8,,6,,,7,7,7,,,7,6,5,,4,,7,9,,6,3,7,,9,4,3,9,,,10,10,9,7,8,5,7,1,9,5,6,4,9,8,7,6,6,6,9,7,5,8,10,1,0,1,1,0,0,1,1,0,0,0,,,,,,,,,,75,40,,90,,1,1,2,2,,,1,1,3,2,2,2,1,,2,2,2,2,2,3,2,2,4,8,3,4,
186,,20210502-shapefuture-a-session1-n,10,7,8,2,9,9,4,2,10,4,10,4,4,8,6,8,5,1,10,8,9,6,7,8,9,10,8,8,5,0,0,1,5,8,9,10,10,9,4,4,2,5,6,10,10,10,10,10,5,10,4,9,3,8,2,7,1,6,0,10,5,9,4,8,3,7,2,6,1,5,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,82,6,100,100,,1,1,1,,1,,1,2,1,1,1,,2,2,1,1,1,1,6,5,6,2,1,2,5,5,28
187,20210501-shapefuture-b-session1-g,20210502-shapefuture-b-session1-a,3,10,5,7,10,7,7,10,2,7,1,7,4,6,8,8,10,6,10,8,8,5,7,8,8,8,6,6,4,10,0,6,8,3,7,7,7,6,1,6,7,6,3,2,7,5,8,7,7,8,7,7,3,7,2,8,5,7,3,4,6,6,4,4,6,7,7,6,7,7,1,1,1,0,1,1,1,1,0,1,1,,,,,,,,,,81,12,39,64,,1,1,1,,1,,1,1,3,3,1,,1,5,2,1,2,1,3,3,8,2,3,5,2,2,23
188,20210501-shapefuture-a-session2-o,20210502-shapefuture-a-session2-c,8,9,9,10,8,10,9,7,9,10,7,10,9,8,10,9,10,9,6,6,9,10,9,7,6,7,8,7,6,9,10,9,8,7,8,9,10,9,8,9,10,9,8,9,10,7,9,9,9,10,8,10,9,9,10,10,10,9,10,9,10,9,9,10,9,10,9,8,9,10,0,0,0,1,1,0,0,1,0,0,1,,,,,,,,,,47,59,62,53,,1,2,2,2,,,1,2,2,1,1,,2,1,1,1,2,1,2,4,7,5,3,1,5,5,24
189,20210501-shapefuture-a-session1-m,20210502-shapefuture-a-session1-l,6,6,5,5,5,4,6,10,0,10,0,0,0,10,5,5,5,5,5,5,5,5,5,7,7,4,5,5,5,2,3,6,5,5,6,10,0,0,0,10,7,,0,0,6,0,0,8,2,5,5,2,8,7,6,10,7,10,10,7,8,9,0,0,7,7,10,9,6,8,1,1,1,1,0,1,0,1,0,1,1,,,,,,,,,,50,0,50,50,,1,1,2,1,,,1,,3,3,1,,1,6,1,1,1,1,2,1,8,2,3,6,4,5,28
190,20210501-shapefuture-b-session2-j,20210502-shapefuture-b-session2-a,4,8,10,8,10,10,10,10,0,10,0,10,0,10,10,10,10,2,10,10,10,10,10,8,9,10,4,7,7,7,4,5,2,2,10,10,10,4,0,10,10,10,0,0,10,8,4,10,10,10,10,10,4,10,5,10,7,10,7,10,10,,4,3,7,10,7,5,5,3,1,1,1,0,1,0,1,1,0,1,1,,,,,,,,,,60,9,24,73,,2,2,1,,1,,1,1,1,1,1,,1,5,2,2,1,1,5,4,5,2,2,5,2,2,28
191,20210501-shapefuture-a-session2-f,20210502-shapefuture-a-session2-w,3,10,10,10,1,10,10,10,0,10,0,2,0,10,10,10,10,2,10,10,10,2,3,10,10,10,10,10,10,10,1,0,0,0,10,10,10,2,0,10,10,10,0,0,10,,,10,10,10,10,10,0,10,2,10,10,10,10,3,10,10,3,7,4,10,6,9,3,10,0,0,1,0,1,1,0,1,0,1,1,,,,,,,,,,37,1,11,10,,1,1,1,,2,,1,3,3,1,1,,1,1,2,2,2,2,3,3,8,7,1,1,0,0,21
192,20210501-shapefuture-a-session1-e,,6,9,,,6,5,6,10,0,10,0,10,,,10,6,6,0,6,0,6,,6,,,,5,5,5,7,3,5,5,4,6,,0,0,0,6,6,0,0,,8,,,5,5,5,5,5,5,6,4,6,5,5,5,6,6,5,4,2,6,5,5,6,0,10,1,1,1,1,1,1,0,1,0,1,1,,,,,,,,,,61,20,20,64,,1,1,1,,2,,1,2,1,3,1,,1,5,2,2,2,2,4,3,6,1,3,5,4,3,26
193,20210501-shapefuture-a-session1-f,20210502-shapefuture-a-session1-a,5,10,10,7,8,10,8,10,5,10,0,8,7,9,10,10,10,0,10,7,,10,10,10,8,6,2,9,7,10,0,0,5,4,7,8,9,0,0,7,7,7,2,0,10,4,8,10,10,7,8,10,0,7,2,10,7,6,4,5,8,7,0,3,9,10,10,10,7,10,1,1,1,1,1,1,0,1,0,1,1,,,,,,,,,,55,1,30,40,,1,1,2,1,,,1,2,1,3,1,,1,1,1,1,1,1,3,3,8,5,3,1,0,0,26
194,20210501-shapefuture-a-session1-r,20210502-shapefuture-a-session1-b,3,10,7,10,10,10,5,10,3,6,0,8,10,5,10,10,10,2,10,7,10,4,10,4,9,9,7,10,10,9,0,0,0,0,10,7,7,10,0,5,9,4,0,0,10,10,7,10,10,10,10,8,0,7,5,10,10,8,0,0,8,0,0,7,0,10,10,10,10,10,1,1,1,0,0,0,0,0,0,1,1,,,,,,,,,,89,46,73,94,,1,1,1,,1,,1,1,2,2,2,1,5,1,2,1,1,1,3,4,1,2,4,1,4,5,
195,20210501-shapefuture-b-session1-f,20210502-shapefuture-b-session1-c,6,8,,7,3,3,6,8,4,4,3,7,7,7,7,7,7,3,7,3,7,,,7,3,3,0,0,0,7,4,8,3,3,8,8,5,3,2,4,7,7,5,3,8,,,8,8,8,8,7,3,9,4,8,3,3,3,,8,8,5,8,8,8,5,7,5,9,1,1,1,0,0,1,0,1,0,0,1,,,,,,,,,,63,38,37,50,,1,1,2,1,,,1,1,3,3,1,,1,6,3,2,2,1,3,3,3,0,2,6,3,2,27
196,,,4,7,,5,8,3,5,10,2,10,2,,,,,10,5,,10,,10,10,10,10,10,10,,,5,6,2,2,,2,2,,,,,5,,,2,2,10,,,10,10,10,5,5,,10,2,10,0,,0,5,5,,2,5,0,10,10,0,10,9,1,1,1,0,0,0,0,1,0,0,0,,,,,,,,,,40,30,,,,1,1,1,,2,,1,1,5,2,2,1,4,,3,2,2,2,3,3,1,2,3,8,,,
197,20210501-shapefuture-b-session1-a,20210502-shapefuture-b-session1-b,5,5,5,7,10,10,7,7,3,7,3,5,5,5,7,7,8,0,7,3,8,5,7,7,5,5,5,3,5,5,0,2,5,5,8,2,7,2,0,5,5,5,3,3,5,5,3,7,5,5,5,1,5,5,5,7,5,7,2,3,5,7,5,10,10,7,5,3,1,5,0,0,1,1,0,1,0,0,0,0,1,,,,,,,,,,0,0,30,50,,1,1,1,,2,,1,2,4,2,2,3,2,,3,3,2,3,4,4,1,0,4,8,5,5,
